"COMPAGNIE"	"DATE_DERNIER_MAJ"	"UTILISATEUR"	"AGENCE_COURTIER"	"NOTES"	"SUPP_LOG"	"PRIORITE_ENVOI_COMPAGNIE"
"AL AMANA TAKAFUL"		""	"Tunis"	""	"N"	12
"BNA ASSURANCES"		""	"Tunis"	"BNA ASSURANCES"	"N"	13
"BIAT ASS"		""	"Tunis"	"BIAT ASSURANCES"	"N"	14
"GAT"		""	"Tunis"	""	"N"	15
"Astree"		""	"Sfax"	""	"N"	4
"STAR"		""	"Tunis"	""	"N"	3
"AMI"		""	"Tunis"	""	"N"	5
"SALIM"		""	"Tunis"	""	"N"	16
"COMAR"		""	"Tunis"	""	"N"	7
"MAE"		""	"Tunis"	""	"N"	8
"MAGHREBIA"		""	"Tunis"	""	"N"	9
"BH ASSURANCE"		""	"Tunis"	""	"N"	10
"LLOYD"		""	"Tunis"	""	"N"	6
"BH ASSU"		""	"Tunis"	""	"N"	1
"CARTE"		""	"Tunis"	""	"N"	2
