"NOM_BLOC"	"NUM_CLIENT"	"INDICE"	"DATE_MVT"	"LIBELLE"	"TYPE_PIECE"	"REFERENCE_PIECE"	"REFERENCE_INTERNE"	"DEBIT"	"CREDIT"
"pr_regelement"	2402	""	24/09/20	"Règlement Chèque : 5804733"	"Règlement"	"7350"	"7350"		252,497
"pr_regelement"	2572	""	25/09/20	"Règlement Espèce"	"Règlement"	"7351"	"7351"		23
"pr_regelement"	2574	""	28/09/20	"Règlement Espèce"	"Règlement"	"7352"	"7352"		462,644
"pr_regelement"	2575	""	28/09/20	"Règlement Chèque : 0001848"	"Règlement"	"7353"	"7353"		1155,027
"pr_regelement"	2663	""	08/12/20	"Règlement Espèce"	"Règlement"	"7689"	"7689"		267,8
"pr_regelement"	1530	""	19/12/20	"Règlement Traite"	"Règlement"	"7771"	"7771"		6109,654
"pr_regelement"	1530	""	19/12/20	"Règlement Traite"	"Règlement"	"7772"	"7772"		6109,654
"pr_regelement"	1413	""	19/03/21	"Règlement Chèque : 5495266"	"Règlement"	"8208"	"8208"		8333,333
"pr_regelement"	1413	""	19/03/21	"Règlement Chèque : 5495267"	"Règlement"	"8209"	"8209"		8333,333
"pr_regelement"	1971	""	01/04/21	"Règlement Espèce"	"Règlement"	"8317"	"8317"		400
"pr_regelement"	2731	""	01/04/21	"Règlement Espèce"	"Règlement"	"8318"	"8318"		62,293
"pr_regelement"	2724	""	02/04/21	"Règlement Chèque : 0000016"	"Règlement"	"8339"	"8339"		345
"pr_regelement"	2724	""	02/04/21	"Règlement Chèque : 0000017"	"Règlement"	"8340"	"8340"		345
"pr_regelement"	2724	""	02/04/21	"Règlement Chèque : 00000006"	"Règlement"	"8341"	"8341"		345
"pr_regelement"	2724	""	02/04/21	"Règlement Chèque : 00000007"	"Règlement"	"8342"	"8342"		345
"pr_regelement"	2724	""	02/04/21	"Règlement Chèque : 000000008"	"Règlement"	"8343"	"8343"		345
"pr_regelement"	2724	""	02/04/21	"Règlement Chèque : 000000009"	"Règlement"	"8344"	"8344"		345
"pr_regelement"	2724	""	02/04/21	"Règlement Chèque : 000000010"	"Règlement"	"8345"	"8345"		345
"pr_regelement"	2724	""	02/04/21	"Règlement Chèque : 0000013"	"Règlement"	"8346"	"8346"		345
"pr_regelement"	2724	""	02/04/21	"Règlement Chèque : 000000012"	"Règlement"	"8347"	"8347"		345
"pr_regelement"	2724	""	02/04/21	"Règlement Chèque : 000000013"	"Règlement"	"8348"	"8348"		345
"pr_regelement"	1548	""	09/03/21	"Règlement Traite"	"Règlement"	"8128"	"8128"		4200
"pr_regelement"	1548	""	09/03/21	"Règlement Traite"	"Règlement"	"8129"	"8129"		4200
"pr_regelement"	1548	""	09/03/21	"Règlement Traite"	"Règlement"	"8130"	"8130"		9633,894
"pr_regelement"	1548	""	09/03/21	"Règlement Traite"	"Règlement"	"8131"	"8131"		4200
"pr_regelement"	2643	""	09/03/21	"Règlement Chèque : 6758305"	"Règlement"	"8133"	"8133"		2680
"pr_regelement"	2643	""	09/03/21	"Règlement Chèque : 6758306"	"Règlement"	"8135"	"8135"		500
"pr_regelement"	2643	""	09/03/21	"Règlement Chèque : 6758307"	"Règlement"	"8137"	"8137"		500
"pr_regelement"	2643	""	09/03/21	"Règlement Chèque : 6758308"	"Règlement"	"8138"	"8138"		1000
"pr_regelement"	533	""	06/04/21	"Règlement Chèque : 5201383"	"Règlement"	"8362"	"8362"		1840,737
"pr_regelement"	533	""	06/04/21	"Règlement Chèque : 5201384"	"Règlement"	"8363"	"8363"		1836
"pr_regelement"	533	""	06/04/21	"Règlement Chèque : 5201385"	"Règlement"	"8364"	"8364"		1836
"pr_regelement"	1333	""	07/04/21	"Règlement Chèque : 7303597"	"Règlement"	"8366"	"8366"		246,095
"pr_regelement"	2067	""	13/04/21	"Règlement Chèque : 2263572"	"Règlement"	"8386"	"8386"		1343,297
"pr_regelement"	2064	""	15/04/21	"Règlement Chèque : 000000068"	"Règlement"	"8396"	"8396"		611
"pr_regelement"	2551	""	29/04/21	"Règlement Espèce"	"Règlement"	"8456"	"8456"		500
