"NUM_MODULE"	"BOUTON"
1	"pr_operation.devis"
3	"BLOC_CX.GESTIONPRIMES"
4	"BLOC_CX.GESTIONCLIENTS"
6	"pr_facture.ANNULER_LA_FACTURE"
7	"pr_facture.AVOIR"
8	"BLOC_CX.GESTIONRÈGLEMENTS"
8	"pr_facture.REGLEMENTIMMÉDIAT"
9	"pr_regelement.IMPUTATIONRÈGLEMENT"
9	"pr_regelement1.IMPUTER_RÈGLEMENT"
11	"BLOC_CX.GESTIONSINISTRES"
15	"BLOC_CX.GESTIONSERVICES"
19	"BLOC_CX.GESTIONEXPERTS"
27	"BLOC_CX.GESTIONUTILISATEURS"
28	"BLOC_CX.PARAMÈTRAGE"
29	"PR_CLIENT1.ANNULER_FACTURATION"
29	"PR_CLIENT1.FACTURER_SÉLECTION"
29	"pr_facture.IMPRIMER_FACTURE_PRIME"
29	"pr_operation.FACTURATION"
