"NUM_PAYEMENT_IND_SINISTRE"	"ANNEE_SIN"	"NUM_SINISTRE"	"MONTANT_REG"	"DATE_REG"	"TYPE_REG"	"DATE_ECHEANCE"	"NUM_CHEQUE"	"BANQUE"	"DATE_DERNIER_MAJ"	"UTILISATEUR"	"AGENCE_COURTIER"	"DATE_MODIF"	"UTILISATEUR_MODIF"	"AGENCE_COURTIER_MODIF"	"NOTES"	"SUPP_LOG"
7	2026	11	2523	17/04/26	"v"		""	""	20/04/26	"LEILA"	"Sfax"		""	""	"AU PROFIT DE TOP AUTO PLATINUM"	"N"
18	2026	20	759,6	29/04/26	"C"	22/04/26	"4682050"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"	29/04/26	"ABIR"	"Sfax"	"CLASSEMENT : B05/2026"	"N"
19	2026	21	6116,908	29/04/26	"C"	22/04/26	"4682049"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"	29/04/26	"ABIR"	"Sfax"	"CLASSEMENT : B05/2026"	"N"
20	2026	22	1117,887	29/04/26	"C"	22/04/26	"4682048"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"	29/04/26	"ABIR"	"Sfax"	"CLASSEMENT : B05/2026"	"N"
21	2026	23	1269,684	29/04/26	"C"	22/04/26	"4682047"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"		""	""	"CLASSEMENT : B05/2026"	"N"
22	2026	24	1722,102	29/04/26	"C"	22/04/26	"4682058"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"		""	""	"CLASSEMENT : B05/2026"	"N"
23	2026	25	550	29/04/26	"C"	22/04/26	"4682057"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"		""	""	"CLASSEMENT : B05/2026"	"N"
24	2026	26	2922,229	29/04/26	"C"	22/04/26	"4682056"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"		""	""	"CLASSEMENT : B05/2026"	"N"
25	2026	27	1300	29/04/26	"C"	22/04/26	"4682055"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"		""	""	"CLASSEMENT : B05/2026"	"N"
26	2026	28	759,967	29/04/26	"C"	22/04/26	"4682054"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"		""	""	"CLASSEMENT : B05/2026"	"N"
27	2026	29	1498,435	29/04/26	"C"	22/04/26	"4682053"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"		""	""	"CLASSEMENT : B05/2026"	"N"
28	2026	30	1619,026	29/04/26	"C"	22/04/26	"4682052"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"		""	""	"CLASSEMENT : B05/2026"	"N"
29	2026	31	700	29/04/26	"C"	22/04/26	"4682051"	"ABC MAGHREBIA"	29/04/26	"ABIR"	"Sfax"		""	""	"CLASSEMENT : B05/2026"	"N"
30	2026	32	240	29/04/26	"C"	28/04/26	"4646860"	"ABC BH"	29/04/26	"ABIR"	"Sfax"		""	""	"CLASSEMENT : B06/2026"	"N"
31	2026	33	4714	29/04/26	"T"	29/04/26	"011567151060"	"ABC LLOYD"	29/04/26	"ABIR"	"Sfax"		""	""	"PEC PAT MALEK AUTO"	"N"
8	2026	12	327	17/04/26	"v"		""	""	20/04/26	"LEILA"	"Sfax"		""	""	"AU PROFIT TOP AUTO PLATINUM"	"N"
9	2026	13	3644	17/04/26	"v"		""	""	20/04/26	"LEILA"	"Sfax"		""	""	"AU PROFIT TOP AUTO PLATINUM"	"N"
10	2026	14	4059,923	17/04/26	"v"		""	""	20/04/26	"LEILA"	"Sfax"	23/04/26	"ZIED"	"Sfax"	"AU PROFIT TOP AUTO PALTINUM"	"N"
17	2026	15	3472,416	17/04/26	"v"	17/04/26	""	"ABC LLOYD"	24/04/26	"ABIR"	"Sfax"	24/04/26	"ABIR"	"Sfax"	"AU PROFIT STE TOP AUTO"	"N"
13	2026	16	2364,029	23/04/26	"C"	23/04/26	"4682532"	"ABC LLOYD"	23/04/26	"ABIR"	"Sfax"	23/04/26	"ABIR"	"Sfax"	""	"N"
14	2026	17	3950,301	23/04/26	"E"	23/04/26	"0159946"	"ATTIJARI"	23/04/26	"ABIR"	"Sfax"		""	""	""	"N"
15	2026	18	1327,867	24/04/26	"E"	23/02/26	"0159930"	"ATTIJARI"	24/04/26	"ABIR"	"Sfax"		""	""	""	"N"
16	2026	15	7000	15/02/26	"v"	15/02/26	""	"ABC LLOYD"	24/04/26	"ABIR"	"Sfax"		""	""	"AU PROFIT STE TOP AUTO"	"N"
4	2015	1	1	03/01/26	"E"		""	""	03/01/26	"LEILA"	"Sfax"	03/01/26	"LEILA"	"Sfax"	""	"N"
32	2026	37	150	12/05/26	"C"	11/05/26	"0159935"	"ATTIJARI"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
33	2026	38	7148,731	12/05/26	"C"	06/05/26	"0159947"	"ATTIJARI"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
34	2026	39	345,423	12/05/26	"C"	11/05/26	"4668052"	"ABC BH"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
38	2026	42	8880,735	12/05/26	"C"	06/05/26	"4668051"	"ABC BH"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
36	2026	40	5622	12/05/26	"v"	19/02/26	""	"ABC LLOYD"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
37	2026	41	2888,892	12/05/26	"C"	07/05/26	"4682059"	"ABC MAGHREBIA"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
39	2026	43	17313,77	12/05/26	"C"	06/05/26	"4668050"	"ABC BH"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
40	2026	44	1900	12/05/26	"C"	06/05/26	"4668049"	"ABC BH"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
41	2026	45	80	12/05/26	"C"	06/05/26	"4668048"	"ABC BH"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
42	2026	46	600	12/05/26	"C"	06/05/26	"4668047"	"ABC BH"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
43	2026	47	148	12/05/26	"C"	06/05/26	"4668046"	"ABC BH"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
44	2026	48	110	12/05/26	"C"	06/05/26	"4668045"	"ABC BH"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
45	2026	49	337,034	12/05/26	"C"	06/05/26	"4668044"	"ABC BH"	12/05/26	"ABIR"	"Sfax"		""	""	""	"N"
