"NUM_CLIENT"	"SOLDE"
2209	-33738,315
2210	0
2211	-9114,448
2212	-3900,862
2214	0
2215	0
2216	-572,8
2217	-181,78
2218	-676,744
2219	-45,5
2220	-45,5
2221	0
2222	0
2223	0
2224	-75965,224
2225	0
2226	-766,728
2227	-70038
2228	-374,48
2229	-123,4
2230	0
2231	0
2232	0
2233	-977,764
2234	0
2235	0
2236	-294,428
2237	0
2238	-277,438
2239	0
2240	-2000
2241	-569,264
2242	0
2243	-470,822
2244	0
2245	-970,422
2246	0
2247	3,132
2248	-378,918
2249	-857,436
2250	0
2251	0
2252	0
2253	0
2254	0
2255	0
2256	0
2257	0
2258	0
2259	0
2260	-697,248
2261	-954,548
2262	-136,839
2263	0
2264	0
2265	-426,142
2266	0
2267	-0,363
2268	0
2269	0
2270	0
2271	-1699,8
2272	0
2273	0
2274	0
2275	0
2276	-408,08
2277	-287,373
2278	-1454,522
2279	0
2280	0
2281	0
2282	0
2283	5471,88
2284	0
2285	-991,019
2286	0
2287	-840,922
2288	-7433,44
2289	-5850,54
2290	0
2291	-490,959
2292	0
2293	-382,119
2294	0
2295	510,347
2296	0
2297	0
2298	0
2299	0
2300	0
2301	0
2302	0
2303	0
2304	0
2305	-2032,785
2306	-1103,106
2307	0
2308	0
2309	0
2310	157
2311	-2035,004
2312	1660,058
2313	-430,978
2314	-0,56
2315	-2500
2316	-821,449
2317	-64,75
2318	-2061,866
2319	0
2320	0
2321	-458,236
2322	-76,02
2323	-1823,874
2324	-807,634
2325	0
2326	0
2327	0
2328	0
2329	-4565,096
2330	-954,74
2331	0
2332	-53801,353
2333	-35815,384
2334	-45454,233
2335	20
2336	-4448,755
2337	0,352
2338	0
2339	-999,158
2340	0
2341	-2497,187
2342	-1117,96
2343	-201,35
2344	0
2345	-694,024
2346	0
2347	-388
2348	0
2349	-1873,66
2350	-81400,642
2351	0
2352	-23
2353	-3440,384
2354	0
2355	-111,78
2356	-6632,342
2357	0
2358	0
2359	-0,357
2360	0
2361	-4268,048
2362	-101,976
2363	500
2364	0
2365	0
2366	0
2367	-661,798
2368	0
2369	0
2370	-0,706
2371	10
2372	0
2373	0
2374	-404,14
2375	1000
2376	-2079,675
2377	6915,93
2378	-731,712
2379	0
2380	0
2381	-3008,789
2382	-401,416
2383	0
2384	0
2385	0
2386	499,632
2387	-1955,56
2388	-2185,08
2389	-6000
2390	0
2391	0
2392	-1554,219
2393	-2,517
2394	-254,78
2395	0
2396	0
2397	0
2398	0
2399	-26,808
2400	-546,804
2401	0
2402	2589,848
2403	0
2404	0
2405	-492,804
2406	0
2407	-38514,138
2408	0
2409	0
2410	0
2411	0
2412	-1038,318
2413	0
2414	-2174,601
2415	-7788,505
2416	0
2417	-750
2418	0
2419	-49990
2420	0
2421	0
2422	-1354,898
2423	-435,088
2424	0
2425	0
2426	-84706,09
2427	-2019,464
2428	0
2429	-2480,92
2430	0
2431	0
2432	0
2433	0
2434	2,053
2435	-423,342
2436	-326,6
2437	0
2438	0
2439	0
2440	-17117,483
2441	-200
2442	-3555,046
2443	-2467
2444	0
2445	-4929
2446	-176,08
2447	-0,03
2448	0
2449	-3358,782
2450	-10,348
2451	0
2452	0
2453	-73,47
2454	0
2455	12704,74
2456	-11,4
2457	0
2458	-1199,797
2459	0
2460	0
2461	-1137,304
2462	0
2463	-296,92
2464	0
2465	0
2466	0
2467	-989,245
2468	-170,159
2469	0
2470	-891,884
2471	0
2472	-1445,448
2473	-7009,53
2474	-1733,422
2475	0
2476	5669,325
2477	0
2478	0
2479	0
2480	-345
2481	0
2482	0
2483	0
2484	-574,625
2485	0
2486	0
2487	-193,701
2488	0
2489	-2906,848
2490	0
2491	-465,2
2492	0
2493	-850,672
2494	0,997
2495	0
2496	-814,468
2497	-354,951
2498	0
2499	-327,544
2500	-228,7
2501	-167,2
2502	-0,039
2503	-19,5
2504	-5000,964
2505	-1253,632
2506	-7268,085
2507	0
2508	0
2509	-1839,091
2510	-5047,639
2511	-0,57
2512	0
2513	-1626,26
2514	0
2515	-4342,088
2516	0
2517	0
2518	-5662,645
2519	-4129,48
2520	0,037
2521	0
2522	0
2523	0
2524	-500,284
2525	-881,482
2526	0
2527	-1632,602
2528	-0,088
2529	-323,76
2530	-9396,866
2531	-187,8
2532	0
2533	0
2534	-2467
2535	0
2536	0
2538	0
2539	0
2540	0
2541	0
2542	0
2543	-1210,37
2544	0
2545	0
2546	0
2547	-1308,819
2548	0
2549	-0,725
2550	-61593,882
2551	-1494,731
2552	-7401
2553	-4934
2554	0
2555	-1795
2556	0
2557	0
2558	0
2559	-176,08
2560	613
2561	0
2562	0
2563	-30,875
2564	0
2565	-30,875
2566	532,207
2567	-2396,708
2568	0
2569	0
2570	-852,434
2571	0
2572	0
2573	-5940,086
2574	0
2575	-1304,457
2576	-1987,551
2577	1206,015
2578	0
2579	-896,8
2580	-17008
2581	-192,818
2582	0
2583	4,407
2584	-502,586
2585	0
2586	0
2587	0
2588	-953,796
2589	-0,097
2590	-1991,713
2591	0
2592	-5150,913
2593	-326,689
2594	0
2595	3271,769
2596	-2810,966
2597	-1053,584
2598	0
2599	0
2600	187,799
2601	165,102
2602	0
2603	0
2604	-2912,91
2605	-11791,023
2606	-149576,325
2607	-3630,576
2608	0
2609	-801,404
2610	0
2611	-2,341
2612	-580,798
2613	0
2614	-820,546
2615	-43241,792
2616	0
2617	0
2618	0
2619	1,156
2620	0
