"NOM_UTILISATEUR"	"SELECTION"	"INSERTION"	"SPPRESSION"	"MODIFICATION"	"MODULE_GENERAL"	"NUM_MODULE"
"GHOFRANE"	"O"	"O"	"O"	"O"	"Gestion de sinistres"	13
"GHOFRANE"	"O"	"O"	"O"	"O"	"Gestion de sinistres"	14
"GHOFRANE"	"O"	"O"	"O"	"O"	"Gestion de services"	15
"GHOFRANE"	"O"	"O"	"O"	"O"	"Gestion de services"	16
"GHOFRANE"	"O"	"O"	"O"	"O"	"Gestion de services"	17
"GHOFRANE"	"O"	"O"	"O"	"O"	"Gestion de services"	18
"GHOFRANE"	"O"	"O"	"O"	"O"	"Gestion des experts"	19
"GHOFRANE"	"O"	"O"	"O"	"O"	"Gestion des experts"	20
"GHOFRANE"	"O"	"O"	"O"	"O"	"Paramètrage"	21
"GHOFRANE"	"N"	"O"	"O"	"O"	"Paramètrage"	22
"GHOFRANE"	"O"	"O"	"O"	"O"	"Paramètrage"	23
"GHOFRANE"	"O"	"O"	"O"	"O"	"Paramètrage"	24
"GHOFRANE"	"N"	"O"	"O"	"O"	"Paramètrage"	25
"GHOFRANE"	"O"	"O"	"O"	"O"	"Paramètrage"	26
"GHOFRANE"	"O"	"O"	"O"	"O"	"Paramètrage"	27
"GHOFRANE"	"O"	"O"	"O"	"O"	"Paramètrage"	28
"GHOFRANE"	"O"	"O"	"O"	"O"	"Gestion de primes"	29
"GHOFRANE"	"O"	"O"	"O"	"O"	"Paramètrage"	30
"GHOFRANE"	"O"	"O"	"O"	"O"	"Gestion des journaux compagnies"	31
"RIM"	"O"	"O"	"O"	"O"	"Connexion"	0
"RIM"	"O"	"O"	"O"	"O"	"Gestion de primes"	2
"RIM"	"O"	"O"	"O"	"O"	"Gestion de primes"	3
"RIM"	"O"	"O"	"O"	"O"	"Gestion de clients"	4
"RIM"	"O"	"O"	"O"	"O"	"Gestion de primes"	5
"RIM"	"O"	"O"	"O"	"O"	"Gestion de primes"	6
"RIM"	"O"	"O"	"O"	"O"	"Gestion de primes"	7
"RIM"	"O"	"O"	"O"	"O"	"Gestion de règlements"	8
"RIM"	"O"	"O"	"O"	"O"	"Gestion de règlements"	9
"RIM"	"O"	"O"	"O"	"O"	"Gestion de règlements"	10
